week,type,target,impact,unit
,priority_change,O-01090,hoch,priority
,priority_change,O-01091,hoch,priority
,priority_change,O-01092,hoch,priority
,priority_change,O-01093,hoch,priority
,priority_change,O-01095,hoch,priority
,priority_change,O-01097,hoch,priority
,priority_change,O-01098,normal,priority
,priority_change,O-01100,hoch,priority
,priority_change,O-01101,hoch,priority
,priority_change,O-01103,hoch,priority
,priority_change,O-01105,hoch,priority
,priority_change,O-01110,hoch,priority
,priority_change,O-01111,hoch,priority
,priority_change,O-01112,hoch,priority
,priority_change,O-01115,hoch,priority
,priority_change,O-01121,hoch,priority
,priority_change,O-01122,hoch,priority
,priority_change,O-01123,hoch,priority
,priority_change,O-01133,normal,priority
,priority_change,O-01136,hoch,priority
,priority_change,O-01138,hoch,priority
,priority_change,O-01142,hoch,priority
,priority_change,O-01146,hoch,priority
,priority_change,O-01150,hoch,priority
,priority_change,O-01151,hoch,priority
,priority_change,O-01152,hoch,priority
,priority_change,O-01153,normal,priority
,priority_change,O-01158,hoch,priority
,priority_change,O-01166,hoch,priority
,priority_change,O-01168,hoch,priority
,priority_change,O-01170,hoch,priority
,priority_change,O-01173,hoch,priority
,priority_change,O-01176,normal,priority
,priority_change,O-01177,hoch,priority
,priority_change,O-01180,normal,priority
,priority_change,O-01183,normal,priority
,priority_change,O-01187,hoch,priority
,priority_change,O-01196,normal,priority
,priority_change,O-01200,hoch,priority
,priority_change,O-01209,hoch,priority
,priority_change,O-01213,hoch,priority
,priority_change,O-01218,hoch,priority
,priority_change,O-01219,hoch,priority
,priority_change,O-01220,hoch,priority
,priority_change,O-01222,hoch,priority
,priority_change,O-01225,normal,priority
,priority_change,O-01227,hoch,priority
,priority_change,O-01228,hoch,priority
,priority_change,O-01229,hoch,priority
,priority_change,O-01230,hoch,priority
,priority_change,O-01231,hoch,priority
,priority_change,O-01234,normal,priority
,priority_change,O-01237,normal,priority
,priority_change,O-01240,hoch,priority
,priority_change,O-01246,hoch,priority
,priority_change,O-01249,hoch,priority
,priority_change,O-01253,hoch,priority
,priority_change,O-01254,hoch,priority
,priority_change,O-01263,normal,priority
,priority_change,O-01264,hoch,priority
,priority_change,O-01266,hoch,priority
,priority_change,O-01272,hoch,priority
,priority_change,O-01274,normal,priority
,priority_change,O-01280,hoch,priority
,priority_change,O-01281,hoch,priority
,priority_change,O-01282,hoch,priority
,priority_change,O-01283,hoch,priority
,priority_change,O-01285,hoch,priority
,priority_change,O-01287,hoch,priority
,priority_change,O-01290,hoch,priority
,priority_change,O-01291,hoch,priority
,priority_change,O-01301,hoch,priority
,priority_change,O-01304,hoch,priority
,priority_change,O-01307,hoch,priority
,priority_change,O-01309,hoch,priority
,priority_change,O-01310,hoch,priority
,priority_change,O-01311,normal,priority
,priority_change,O-01318,hoch,priority
,priority_change,O-01322,hoch,priority
,priority_change,O-01324,hoch,priority
,priority_change,O-01329,hoch,priority
,priority_change,O-01338,normal,priority
,priority_change,O-01340,hoch,priority
,priority_change,O-01342,hoch,priority
,priority_change,O-01344,hoch,priority
,priority_change,O-01348,hoch,priority
,priority_change,O-01352,hoch,priority
,priority_change,O-01353,normal,priority
,priority_change,O-01360,hoch,priority
,priority_change,O-01365,hoch,priority
,priority_change,O-01367,hoch,priority
,priority_change,O-01369,hoch,priority
,priority_change,O-01374,hoch,priority
,priority_change,O-01375,hoch,priority
,priority_change,O-01376,normal,priority
,priority_change,O-01377,normal,priority
,priority_change,O-01382,normal,priority
,priority_change,O-01385,hoch,priority
,priority_change,O-01389,hoch,priority
,priority_change,O-01394,hoch,priority
,priority_change,O-01401,hoch,priority
,priority_change,O-01403,hoch,priority
,priority_change,O-01405,hoch,priority
,priority_change,O-01409,hoch,priority
,priority_change,O-01410,hoch,priority
,priority_change,O-01413,hoch,priority
,priority_change,O-01416,hoch,priority
,priority_change,O-01421,hoch,priority
,priority_change,O-01423,hoch,priority
,priority_change,O-01427,hoch,priority
,priority_change,O-01430,hoch,priority
,priority_change,O-01431,hoch,priority
,priority_change,O-01436,hoch,priority
,priority_change,O-01438,hoch,priority
,priority_change,O-01439,hoch,priority
,priority_change,O-01442,hoch,priority
,priority_change,O-01447,hoch,priority
,priority_change,O-01450,normal,priority
,priority_change,O-01455,hoch,priority
,priority_change,O-01458,hoch,priority
,priority_change,O-01460,hoch,priority
,priority_change,O-01465,hoch,priority
,priority_change,O-01469,hoch,priority
,priority_change,O-01472,normal,priority
,priority_change,O-01475,hoch,priority
,priority_change,O-01477,hoch,priority
,priority_change,O-01488,normal,priority
,priority_change,O-01490,hoch,priority
,priority_change,O-01492,hoch,priority
,priority_change,O-01493,normal,priority
,priority_change,O-01496,normal,priority
,priority_change,O-01498,normal,priority
,priority_change,O-01499,hoch,priority
,priority_change,O-01504,hoch,priority
,priority_change,O-01509,hoch,priority
,priority_change,O-01512,normal,priority
,priority_change,O-01519,hoch,priority
,priority_change,O-01520,hoch,priority
,priority_change,O-01521,hoch,priority
,priority_change,O-01529,normal,priority
,priority_change,O-01530,hoch,priority
,priority_change,O-01533,hoch,priority
,priority_change,O-01534,normal,priority
,priority_change,O-01535,hoch,priority
,priority_change,O-01543,hoch,priority
,priority_change,O-01545,hoch,priority
,priority_change,O-01546,hoch,priority
,priority_change,O-01554,hoch,priority
,priority_change,O-01555,hoch,priority
,priority_change,O-01556,hoch,priority
,priority_change,O-01558,hoch,priority
,priority_change,O-01560,hoch,priority
,priority_change,O-01568,hoch,priority
,priority_change,O-01571,normal,priority
,priority_change,O-01572,normal,priority
,priority_change,O-01581,normal,priority
,priority_change,O-01584,hoch,priority
,priority_change,O-01586,hoch,priority
,priority_change,O-01588,hoch,priority
,priority_change,O-01590,hoch,priority
,priority_change,O-01591,hoch,priority
,priority_change,O-01592,hoch,priority
,priority_change,O-01598,hoch,priority
,priority_change,O-01602,hoch,priority
,priority_change,O-01606,hoch,priority
,priority_change,O-01617,hoch,priority
,priority_change,O-01628,hoch,priority
,priority_change,O-01630,hoch,priority
,priority_change,O-01632,hoch,priority
,priority_change,O-01634,normal,priority
,priority_change,O-01636,normal,priority
,priority_change,O-01638,hoch,priority
,priority_change,O-01642,hoch,priority
,priority_change,O-01643,hoch,priority
,priority_change,O-01644,hoch,priority
,priority_change,O-01646,normal,priority
,priority_change,O-01648,normal,priority
,priority_change,O-01650,hoch,priority
,priority_change,O-01651,normal,priority
,priority_change,O-01652,hoch,priority
,priority_change,O-01655,hoch,priority
,priority_change,O-01662,hoch,priority
,priority_change,O-01665,hoch,priority
,priority_change,O-01669,hoch,priority
,priority_change,O-01670,hoch,priority
,priority_change,O-01671,hoch,priority
,priority_change,O-01675,hoch,priority
,priority_change,O-01678,hoch,priority
,priority_change,O-01681,hoch,priority
,priority_change,O-01684,hoch,priority
,priority_change,O-01685,hoch,priority
,priority_change,O-01690,normal,priority
,priority_change,O-01695,hoch,priority
,priority_change,O-01696,hoch,priority
,priority_change,O-01699,hoch,priority
,priority_change,O-01700,hoch,priority
,priority_change,O-01702,hoch,priority
,priority_change,O-01709,normal,priority
,priority_change,O-01710,normal,priority
,priority_change,O-01711,hoch,priority
,priority_change,O-01713,normal,priority
,priority_change,O-01714,hoch,priority
,priority_change,O-01717,hoch,priority
,priority_change,O-01724,hoch,priority
,priority_change,O-01727,normal,priority
,priority_change,O-01731,hoch,priority
,priority_change,O-01736,hoch,priority
,priority_change,O-01737,hoch,priority
,priority_change,O-01738,hoch,priority
,priority_change,O-01742,hoch,priority
,priority_change,O-01745,normal,priority
,priority_change,O-01746,hoch,priority
,priority_change,O-01747,hoch,priority
,priority_change,O-01748,hoch,priority
,priority_change,O-01749,hoch,priority
,priority_change,O-01751,hoch,priority
,priority_change,O-01752,hoch,priority
,priority_change,O-01755,hoch,priority
,priority_change,O-01758,hoch,priority
,priority_change,O-01760,hoch,priority
,priority_change,O-01761,hoch,priority
,priority_change,O-01764,hoch,priority
,priority_change,O-01768,hoch,priority
,priority_change,O-01774,hoch,priority
,priority_change,O-01777,hoch,priority
,priority_change,O-01780,hoch,priority
,priority_change,O-01781,hoch,priority
,priority_change,O-01782,normal,priority
,priority_change,O-01785,hoch,priority
,priority_change,O-01786,hoch,priority
,priority_change,O-01787,hoch,priority
,priority_change,O-01796,hoch,priority
,priority_change,O-01800,hoch,priority
,priority_change,O-01801,normal,priority
,priority_change,O-01805,hoch,priority
,priority_change,O-01806,hoch,priority
,priority_change,O-01807,hoch,priority
,priority_change,O-01808,hoch,priority
,priority_change,O-01811,hoch,priority
,priority_change,O-01813,hoch,priority
,priority_change,O-01817,hoch,priority
,priority_change,O-01819,hoch,priority
,priority_change,O-01827,hoch,priority
,priority_change,O-01828,hoch,priority
,priority_change,O-01829,hoch,priority
,priority_change,O-01830,hoch,priority
,priority_change,O-01831,hoch,priority
,priority_change,O-01835,hoch,priority
,priority_change,O-01836,hoch,priority
,priority_change,O-01837,hoch,priority
,priority_change,O-01847,normal,priority
,priority_change,O-01853,hoch,priority
,priority_change,O-01857,hoch,priority
,priority_change,O-01865,hoch,priority
,priority_change,O-01867,hoch,priority
,priority_change,O-01868,hoch,priority
,priority_change,O-01871,hoch,priority
,priority_change,O-01875,hoch,priority
,priority_change,O-01877,hoch,priority
,priority_change,O-01878,hoch,priority
,priority_change,O-01879,hoch,priority
,priority_change,O-01889,hoch,priority
,priority_change,O-01891,hoch,priority
,priority_change,O-01893,hoch,priority
,priority_change,O-01902,hoch,priority
,priority_change,O-01906,hoch,priority
,priority_change,O-01909,hoch,priority
,priority_change,O-01910,hoch,priority
,priority_change,O-01912,hoch,priority
,priority_change,O-01914,hoch,priority
,priority_change,O-01916,normal,priority
,priority_change,O-01917,hoch,priority
,priority_change,O-01918,hoch,priority
,priority_change,O-01921,normal,priority
,priority_change,O-01922,hoch,priority
,priority_change,O-01923,hoch,priority
,priority_change,O-01924,hoch,priority
,priority_change,O-01928,hoch,priority
,priority_change,O-01930,hoch,priority
,priority_change,O-01931,hoch,priority
,priority_change,O-01935,hoch,priority
,priority_change,O-01939,hoch,priority
,priority_change,O-01941,hoch,priority
,priority_change,O-01943,normal,priority
,priority_change,O-01947,hoch,priority
,priority_change,O-01948,hoch,priority
,priority_change,O-01951,hoch,priority
,priority_change,O-01954,hoch,priority
,priority_change,O-01955,hoch,priority
,priority_change,O-01956,hoch,priority
,priority_change,O-01957,hoch,priority
,priority_change,O-01962,hoch,priority
,priority_change,O-01963,hoch,priority
,priority_change,O-01964,hoch,priority
,priority_change,O-01965,normal,priority
,priority_change,O-01968,hoch,priority
,priority_change,O-01973,hoch,priority
,priority_change,O-01974,hoch,priority
,priority_change,O-01976,hoch,priority
,priority_change,O-01987,hoch,priority
,priority_change,O-01990,normal,priority
,priority_change,O-01992,hoch,priority
,priority_change,O-01993,hoch,priority
,priority_change,O-01995,normal,priority
,priority_change,O-01997,hoch,priority
,priority_change,O-01998,hoch,priority
,priority_change,O-02000,hoch,priority
,priority_change,O-02001,hoch,priority
,priority_change,O-02003,hoch,priority
,priority_change,O-02004,hoch,priority
,priority_change,O-02006,hoch,priority
,priority_change,O-02008,hoch,priority
,priority_change,O-02009,hoch,priority
,priority_change,O-02011,normal,priority
,priority_change,O-02014,hoch,priority
,priority_change,O-02017,hoch,priority
,priority_change,O-02019,hoch,priority
,priority_change,O-02029,hoch,priority
,priority_change,O-02030,hoch,priority
,priority_change,O-02034,hoch,priority
,priority_change,O-02035,hoch,priority
,priority_change,O-02036,hoch,priority
,priority_change,O-02039,hoch,priority
,priority_change,O-02044,hoch,priority
,priority_change,O-02046,hoch,priority
,priority_change,O-02050,hoch,priority
,priority_change,O-02052,hoch,priority
,priority_change,O-02056,normal,priority
,priority_change,O-02057,hoch,priority
,priority_change,O-02058,hoch,priority
,priority_change,O-02059,hoch,priority
,priority_change,O-02061,normal,priority
,priority_change,O-02064,hoch,priority
,priority_change,O-02069,hoch,priority
,priority_change,O-02070,normal,priority
,priority_change,O-02071,hoch,priority
,priority_change,O-02074,normal,priority
,priority_change,O-02079,hoch,priority
,priority_change,O-02083,hoch,priority
,priority_change,O-02088,hoch,priority
,priority_change,O-02089,hoch,priority
,priority_change,O-02092,hoch,priority
,priority_change,O-02094,hoch,priority
,priority_change,O-02095,hoch,priority
,priority_change,O-02099,hoch,priority
,priority_change,O-02105,hoch,priority
,priority_change,O-02106,hoch,priority
,priority_change,O-02107,hoch,priority
,priority_change,O-02111,hoch,priority
,priority_change,O-02113,normal,priority
,priority_change,O-02116,normal,priority
,priority_change,O-02118,hoch,priority
,priority_change,O-02129,hoch,priority
,priority_change,O-02134,hoch,priority
,priority_change,O-02136,hoch,priority
,priority_change,O-02139,hoch,priority
,priority_change,O-02145,hoch,priority
,priority_change,O-02146,hoch,priority
,priority_change,O-02150,hoch,priority
,priority_change,O-02151,hoch,priority
,priority_change,O-02152,hoch,priority
,priority_change,O-02160,hoch,priority
,priority_change,O-02161,hoch,priority
,priority_change,O-02162,hoch,priority
,priority_change,O-02164,hoch,priority
,priority_change,O-02166,hoch,priority
,priority_change,O-02168,hoch,priority
,priority_change,O-02169,hoch,priority
,priority_change,O-02173,hoch,priority
,priority_change,O-02174,hoch,priority
,priority_change,O-02175,hoch,priority
,priority_change,O-02176,normal,priority
,priority_change,O-02181,hoch,priority
,priority_change,O-02182,hoch,priority
,priority_change,O-02185,hoch,priority
,priority_change,O-02188,hoch,priority
,priority_change,O-02197,hoch,priority
,priority_change,O-02199,hoch,priority
,priority_change,O-02206,hoch,priority
,priority_change,O-02207,hoch,priority
,priority_change,O-02209,normal,priority
,priority_change,O-02214,hoch,priority
,priority_change,O-02221,hoch,priority
,priority_change,O-02223,normal,priority
,priority_change,O-02227,hoch,priority
,priority_change,O-02235,hoch,priority
,priority_change,O-02236,hoch,priority
,priority_change,O-02239,hoch,priority
,priority_change,O-02241,hoch,priority
,priority_change,O-02243,hoch,priority
,priority_change,O-02244,hoch,priority
,priority_change,O-02249,normal,priority
,priority_change,O-02253,hoch,priority
,priority_change,O-02254,hoch,priority
,priority_change,O-02261,hoch,priority
,priority_change,O-02266,hoch,priority
,priority_change,O-02268,hoch,priority
,priority_change,O-02269,normal,priority
,priority_change,O-02275,hoch,priority
,priority_change,O-02279,hoch,priority
,priority_change,O-02280,normal,priority
,priority_change,O-02285,hoch,priority
,priority_change,O-02290,normal,priority
,priority_change,O-02291,hoch,priority
,priority_change,O-02292,hoch,priority
,priority_change,O-02293,normal,priority
,priority_change,O-02296,hoch,priority
,priority_change,O-02300,hoch,priority
,priority_change,O-02304,hoch,priority
,priority_change,O-02311,hoch,priority
,priority_change,O-02313,hoch,priority
,priority_change,O-02316,hoch,priority
,priority_change,O-02319,hoch,priority
,priority_change,O-02320,normal,priority
,priority_change,O-02322,normal,priority
,priority_change,O-02324,hoch,priority
,priority_change,O-02325,hoch,priority
,priority_change,O-02328,hoch,priority
,priority_change,O-02329,hoch,priority
,priority_change,O-02332,hoch,priority
,priority_change,O-02336,normal,priority
,priority_change,O-02337,hoch,priority
,priority_change,O-02339,hoch,priority
,priority_change,O-02345,hoch,priority
,priority_change,O-02350,hoch,priority
,priority_change,O-02351,hoch,priority
,priority_change,O-02352,hoch,priority
,priority_change,O-02353,hoch,priority
,priority_change,O-02355,normal,priority
,priority_change,O-02360,hoch,priority
,priority_change,O-02366,hoch,priority
,priority_change,O-02378,hoch,priority
,priority_change,O-02379,hoch,priority
,priority_change,O-02381,hoch,priority
,priority_change,O-02382,hoch,priority
,priority_change,O-02384,normal,priority
