order_id,customer,product_id,variant,order_date,due_date,is_rush,priority,quantity
O-00029,"Gardner, Robinson and Lawrence",P-DV,P-DV-V2,2024-01-04,2024-01-22,False,normal,4
O-00030,Becksbrauerei,P-KK,P-KK-V4,2024-01-06,2024-01-21,False,normal,7
O-00031,Becksbrauerei,P-KK,P-KK-V4,2024-01-02,2024-01-20,False,normal,3
O-00032,Becksbrauerei,P-DV,P-DV-V3,2024-01-01,2024-01-07,False,normal,1
O-00033,Becksbrauerei,P-KK,P-KK-V2,2024-01-02,2024-01-20,False,normal,13
O-00034,Becksbrauerei,P-KK,P-KK-V2,2024-01-04,2024-01-09,False,normal,15
O-00035,Becksbrauerei,P-DV,P-DV-V2,2024-01-06,2024-01-26,False,normal,2
O-00036,Becksbrauerei,P-KK,P-KK-V3,2024-01-01,2024-01-07,False,normal,17
O-00037,Becksbrauerei,P-KK,P-KK-V1,2024-01-05,2024-01-12,False,normal,3
O-00038,Becksbrauerei,P-KK,P-KK-V4,2024-01-01,2024-01-13,False,normal,3
O-00039,Becksbrauerei,P-DV,P-DV-V3,2024-01-05,2024-01-26,False,normal,11
O-00040,Becksbrauerei,P-KK,P-KK-V3,2024-01-04,2024-01-13,False,normal,11
O-00041,Becksbrauerei,P-KK,P-KK-V1,2024-01-04,2024-01-12,True,hoch,9
O-00042,Becksbrauerei,P-KK,P-KK-V3,2024-01-01,2024-01-13,False,normal,18
O-00043,Blake and Sons,P-DV,P-DV-V3,2024-01-07,2024-01-28,True,hoch,10
O-00044,"Henderson, Ramirez and Lewis",P-KK,P-KK-V2,2024-01-03,2024-01-11,False,normal,5
O-00045,Becksbrauerei,P-DV,P-DV-V2,2024-01-05,2024-01-16,False,normal,9
O-00046,Becksbrauerei,P-DV,P-DV-V2,2024-01-07,2024-01-13,True,hoch,9
O-00047,Becksbrauerei,P-KK,P-KK-V1,2024-01-03,2024-01-12,False,normal,15
O-00048,Garcia-James,P-DV,P-DV-V3,2024-01-01,2024-01-09,True,hoch,5
O-00049,Becksbrauerei,P-KK,P-KK-V3,2024-01-05,2024-01-14,False,normal,12
O-00050,Becksbrauerei,P-KK,P-KK-V3,2024-01-02,2024-01-14,False,normal,18
O-00051,Becksbrauerei,P-DV,P-DV-V3,2024-01-06,2024-01-15,False,normal,6
O-00052,Becksbrauerei,P-KK,P-KK-V4,2024-01-01,2024-01-11,False,normal,14
O-00053,Becksbrauerei,P-KK,P-KK-V3,2024-01-02,2024-01-10,False,normal,16
O-00054,Abbott-Munoz,P-KK,P-KK-V2,2024-01-07,2024-01-26,False,normal,8
O-00055,Becksbrauerei,P-KK,P-KK-V1,2024-01-06,2024-01-17,False,normal,3
O-00056,Blair PLC,P-DV,P-DV-V2,2024-01-06,2024-01-27,False,normal,18
O-00057,Dudley Group,P-DV,P-DV-V1,2024-01-01,2024-01-14,False,normal,9
O-00058,Arnold Ltd,P-KK,P-KK-V1,2024-01-05,2024-01-23,False,normal,14
O-00059,"Mcclure, Ward and Lee",P-KK,P-KK-V4,2024-01-05,2024-01-16,False,normal,1
O-00060,Williams and Sons,P-KK,P-KK-V3,2024-01-04,2024-01-11,False,normal,20
O-00061,Becksbrauerei,P-DV,P-DV-V3,2024-01-14,2024-01-22,False,normal,10
O-00062,Becksbrauerei,P-DV,P-DV-V2,2024-01-11,2024-01-25,False,normal,13
O-00063,Becksbrauerei,P-KK,P-KK-V3,2024-01-11,2024-01-16,False,normal,19
O-00064,Becksbrauerei,P-DV,P-DV-V2,2024-01-11,2024-01-30,False,normal,6
O-00065,Galloway-Wyatt,P-KK,P-KK-V3,2024-01-12,2024-01-27,True,hoch,8
O-00066,Becksbrauerei,P-DV,P-DV-V1,2024-01-14,2024-01-25,False,normal,16
O-00067,Becksbrauerei,P-KK,P-KK-V4,2024-01-11,2024-01-22,False,normal,13
O-00068,James Group,P-KK,P-KK-V2,2024-01-13,2024-01-18,False,normal,4
O-00069,Becksbrauerei,P-DV,P-DV-V1,2024-01-09,2024-01-30,False,normal,4
O-00070,"Flowers, Martin and Kelly",P-DV,P-DV-V1,2024-01-14,2024-02-02,False,normal,20
O-00071,"Adams, Zuniga and Wong",P-DV,P-DV-V2,2024-01-12,2024-02-02,False,normal,15
O-00072,"Reid, Ferguson and Sanchez",P-KK,P-KK-V4,2024-01-11,2024-01-24,False,normal,9
O-00073,Gray-Mayo,P-DV,P-DV-V3,2024-01-09,2024-01-22,False,normal,8
O-00074,Becksbrauerei,P-DV,P-DV-V2,2024-01-10,2024-01-17,False,normal,5
O-00075,Becksbrauerei,P-KK,P-KK-V1,2024-01-11,2024-01-29,False,normal,2
O-00076,"Watts, Robinson and Nguyen",P-KK,P-KK-V4,2024-01-11,2024-01-16,False,normal,13
O-00077,Perez Inc,P-DV,P-DV-V1,2024-01-10,2024-01-24,False,normal,14
O-00078,Becksbrauerei,P-KK,P-KK-V4,2024-01-09,2024-01-22,False,normal,11
O-00079,Morales-Jones,P-DV,P-DV-V3,2024-01-09,2024-01-28,False,normal,18
O-00080,Becksbrauerei,P-KK,P-KK-V4,2024-01-12,2024-01-17,True,hoch,15
O-00081,Becksbrauerei,P-KK,P-KK-V1,2024-01-10,2024-01-27,False,normal,11
O-00082,Becksbrauerei,P-DV,P-DV-V2,2024-01-14,2024-02-01,False,normal,1
O-00083,Becksbrauerei,P-KK,P-KK-V3,2024-01-09,2024-01-16,False,normal,1
O-00084,Becksbrauerei,P-KK,P-KK-V2,2024-01-14,2024-01-19,False,normal,16
O-00085,Becksbrauerei,P-KK,P-KK-V2,2024-01-11,2024-01-24,False,normal,20
O-00086,"Walter, Edwards and Rios",P-KK,P-KK-V2,2024-01-10,2024-01-18,False,normal,19
O-00087,Wilkerson-Day,P-DV,P-DV-V2,2024-01-13,2024-01-24,True,hoch,8
O-00088,Becksbrauerei,P-KK,P-KK-V3,2024-01-14,2024-01-22,False,normal,2
O-00089,Becksbrauerei,P-DV,P-DV-V3,2024-01-11,2024-01-27,True,hoch,1
O-00090,Becksbrauerei,P-DV,P-DV-V2,2024-01-08,2024-01-26,False,normal,15
O-00091,Becksbrauerei,P-KK,P-KK-V4,2024-01-09,2024-01-30,False,normal,18
O-00092,Becksbrauerei,P-DV,P-DV-V2,2024-01-11,2024-01-24,False,normal,3
O-00093,Becksbrauerei,P-DV,P-DV-V2,2024-01-09,2024-01-28,False,normal,11
O-00094,Becksbrauerei,P-KK,P-KK-V4,2024-01-14,2024-01-29,False,normal,9
O-00095,Becksbrauerei,P-DV,P-DV-V2,2024-01-12,2024-01-25,False,normal,7
O-00096,Baker and Sons,P-KK,P-KK-V2,2024-01-13,2024-01-31,False,normal,16
O-00097,Becksbrauerei,P-DV,P-DV-V2,2024-01-14,2024-01-19,True,hoch,8
O-00098,Becksbrauerei,P-DV,P-DV-V3,2024-01-12,2024-01-28,False,normal,14
O-00099,Becksbrauerei,P-DV,P-DV-V2,2024-01-13,2024-02-01,False,normal,4
O-00100,"Hoffman, Baker and Richards",P-KK,P-KK-V3,2024-01-08,2024-01-18,False,normal,9
O-00101,Becksbrauerei,P-DV,P-DV-V1,2024-01-14,2024-01-25,False,normal,10
O-00102,Becksbrauerei,P-KK,P-KK-V2,2024-01-10,2024-01-16,False,normal,5
O-00103,Becksbrauerei,P-DV,P-DV-V1,2024-01-14,2024-01-19,False,normal,15
O-00104,Becksbrauerei,P-DV,P-DV-V1,2024-01-08,2024-01-21,False,normal,3
O-00105,"Ross, Robinson and Bright",P-DV,P-DV-V2,2024-01-08,2024-01-14,False,normal,10
O-00106,"Snyder, Campos and Callahan",P-KK,P-KK-V2,2024-01-08,2024-01-26,False,normal,8
O-00107,Burton Ltd,P-DV,P-DV-V2,2024-01-11,2024-01-25,False,normal,10
O-00108,Becksbrauerei,P-KK,P-KK-V1,2024-01-14,2024-01-25,False,normal,3
O-00109,Becksbrauerei,P-KK,P-KK-V2,2024-01-09,2024-01-16,False,normal,20
O-00110,Becksbrauerei,P-DV,P-DV-V2,2024-01-08,2024-01-20,False,normal,15
O-00111,Becksbrauerei,P-KK,P-KK-V2,2024-01-10,2024-01-21,False,normal,5
O-00112,Becksbrauerei,P-DV,P-DV-V1,2024-01-08,2024-01-14,False,normal,19
O-00113,Carlson-Cruz,P-DV,P-DV-V2,2024-01-08,2024-01-27,False,normal,9
O-00114,"Ferrell, Rice and Maddox",P-DV,P-DV-V2,2024-01-08,2024-01-14,False,normal,20
O-00115,Frazier Inc,P-DV,P-DV-V1,2024-01-08,2024-01-20,False,normal,19
O-00116,Becksbrauerei,P-KK,P-KK-V3,2024-01-12,2024-01-18,False,normal,17
O-00117,Becksbrauerei,P-DV,P-DV-V2,2024-01-09,2024-01-27,False,normal,3
O-00118,Becksbrauerei,P-DV,P-DV-V2,2024-01-11,2024-01-26,False,normal,6
O-00119,"Dyer, Potter and Mack",P-DV,P-DV-V2,2024-01-13,2024-02-02,False,normal,18
O-00120,Becksbrauerei,P-KK,P-KK-V4,2024-01-08,2024-01-23,False,normal,13
O-00121,Becksbrauerei,P-KK,P-KK-V4,2024-01-18,2024-01-24,False,normal,16
O-00122,Rodriguez-Graham,P-DV,P-DV-V1,2024-01-16,2024-01-29,False,normal,15
O-00123,Becksbrauerei,P-DV,P-DV-V1,2024-01-15,2024-01-27,False,normal,1
O-00124,Becksbrauerei,P-DV,P-DV-V1,2024-01-16,2024-01-24,False,normal,5
O-00125,Becksbrauerei,P-DV,P-DV-V3,2024-01-17,2024-02-07,False,normal,16
O-00126,Smith-Bowen,P-DV,P-DV-V1,2024-01-18,2024-01-27,False,normal,17
O-00127,"Baker, Mason and White",P-KK,P-KK-V1,2024-01-17,2024-02-04,False,normal,9
O-00128,Becksbrauerei,P-KK,P-KK-V3,2024-01-20,2024-02-03,False,normal,16
O-00129,Becksbrauerei,P-KK,P-KK-V4,2024-01-19,2024-02-08,False,normal,18
O-00130,Becksbrauerei,P-DV,P-DV-V2,2024-01-17,2024-01-28,False,normal,13
O-00131,Harrell LLC,P-KK,P-KK-V4,2024-01-15,2024-01-30,False,normal,13
O-00132,Becksbrauerei,P-DV,P-DV-V3,2024-01-21,2024-01-30,False,normal,17
O-00133,"Romero, Gonzalez and Brooks",P-DV,P-DV-V1,2024-01-21,2024-02-09,True,hoch,1
O-00134,Ryan PLC,P-KK,P-KK-V4,2024-01-21,2024-01-30,True,hoch,9
O-00135,George Group,P-DV,P-DV-V3,2024-01-20,2024-02-06,False,normal,18
O-00136,Becksbrauerei,P-DV,P-DV-V2,2024-01-20,2024-02-09,False,normal,3
O-00137,Becksbrauerei,P-KK,P-KK-V3,2024-01-16,2024-01-23,False,normal,4
O-00138,Becksbrauerei,P-DV,P-DV-V1,2024-01-20,2024-02-03,False,normal,2
O-00139,Becksbrauerei,P-DV,P-DV-V2,2024-01-17,2024-02-04,False,normal,19
O-00140,Becksbrauerei,P-KK,P-KK-V2,2024-01-16,2024-01-23,False,normal,8
O-00141,Becksbrauerei,P-DV,P-DV-V3,2024-01-16,2024-01-28,False,normal,9
O-00142,Rodriguez LLC,P-KK,P-KK-V4,2024-01-17,2024-01-27,True,hoch,19
O-00143,Becksbrauerei,P-DV,P-DV-V3,2024-01-18,2024-01-31,False,normal,13
O-00144,Becksbrauerei,P-DV,P-DV-V1,2024-01-16,2024-02-02,False,normal,10
O-00145,Allen-Allen,P-KK,P-KK-V4,2024-01-17,2024-01-22,False,normal,2
O-00146,Becksbrauerei,P-DV,P-DV-V2,2024-01-21,2024-02-02,False,normal,7
O-00147,"Arroyo, Miller and Tucker",P-DV,P-DV-V3,2024-01-21,2024-01-30,False,normal,2
O-00148,Becksbrauerei,P-DV,P-DV-V2,2024-01-15,2024-01-31,False,normal,10
O-00149,Spence PLC,P-DV,P-DV-V3,2024-01-18,2024-01-28,False,normal,12
O-00150,Becksbrauerei,P-DV,P-DV-V1,2024-01-17,2024-02-06,False,normal,11
O-00151,Becksbrauerei,P-KK,P-KK-V4,2024-01-15,2024-01-24,False,normal,13
O-00152,Becksbrauerei,P-DV,P-DV-V1,2024-01-21,2024-02-07,True,hoch,15
O-00153,Anderson Group,P-DV,P-DV-V3,2024-01-20,2024-02-02,False,normal,12
O-00154,"Martin, Rose and Obrien",P-KK,P-KK-V2,2024-01-18,2024-01-23,False,normal,11
O-00155,Becksbrauerei,P-KK,P-KK-V1,2024-01-20,2024-02-08,False,normal,14
O-00156,Becksbrauerei,P-KK,P-KK-V2,2024-01-15,2024-01-21,False,normal,4
O-00157,Hickman Ltd,P-KK,P-KK-V2,2024-01-18,2024-02-06,False,normal,18
O-00158,Becksbrauerei,P-DV,P-DV-V3,2024-01-20,2024-01-29,False,normal,16
O-00159,Becksbrauerei,P-DV,P-DV-V2,2024-01-15,2024-01-31,False,normal,8
O-00160,"Harris, Collins and Carney",P-DV,P-DV-V1,2024-01-20,2024-02-05,False,normal,12
O-00161,"Brooks, Lam and Hayes",P-KK,P-KK-V4,2024-01-17,2024-01-28,False,normal,15
O-00162,Becksbrauerei,P-KK,P-KK-V2,2024-01-20,2024-01-25,True,hoch,5
O-00163,Walker LLC,P-KK,P-KK-V1,2024-01-21,2024-02-01,False,normal,8
O-00164,Chapman and Sons,P-DV,P-DV-V1,2024-01-21,2024-01-26,False,normal,5
O-00165,Becksbrauerei,P-DV,P-DV-V1,2024-01-15,2024-01-20,False,normal,8
O-00166,"Robinson, Jones and Welch",P-DV,P-DV-V1,2024-01-16,2024-01-29,True,hoch,17
O-00167,Becksbrauerei,P-KK,P-KK-V1,2024-01-18,2024-02-06,False,normal,4
O-00168,Jones Inc,P-DV,P-DV-V3,2024-01-16,2024-01-22,False,normal,17
O-00169,Becksbrauerei,P-DV,P-DV-V2,2024-01-20,2024-01-25,True,hoch,13
O-00170,Becksbrauerei,P-DV,P-DV-V3,2024-01-15,2024-02-04,False,normal,3
O-00171,Becksbrauerei,P-DV,P-DV-V3,2024-01-16,2024-01-23,True,hoch,19
O-00172,Becksbrauerei,P-DV,P-DV-V2,2024-01-19,2024-02-09,False,normal,14
O-00173,Jones-Young,P-KK,P-KK-V1,2024-01-21,2024-02-01,False,normal,14
O-00174,Becksbrauerei,P-DV,P-DV-V2,2024-01-18,2024-02-05,False,normal,11
O-00175,"Washington, Ryan and Cummings",P-DV,P-DV-V2,2024-01-16,2024-02-05,True,hoch,3
O-00176,Becksbrauerei,P-DV,P-DV-V1,2024-01-20,2024-02-05,False,normal,19
O-00177,Becksbrauerei,P-DV,P-DV-V3,2024-01-15,2024-02-02,False,normal,14
O-00178,Becksbrauerei,P-KK,P-KK-V3,2024-01-19,2024-02-02,False,normal,7
O-00179,Becksbrauerei,P-KK,P-KK-V4,2024-01-16,2024-01-24,False,normal,4
O-00180,"Johnston, Sanchez and Kennedy",P-DV,P-DV-V3,2024-01-16,2024-02-03,False,normal,20
O-00181,Lee-Davis,P-KK,P-KK-V3,2024-01-22,2024-02-01,False,normal,11
O-00182,Becksbrauerei,P-DV,P-DV-V1,2024-01-23,2024-02-01,False,normal,5
O-00183,Becksbrauerei,P-KK,P-KK-V1,2024-01-27,2024-02-17,False,normal,11
O-00184,Becksbrauerei,P-KK,P-KK-V3,2024-01-24,2024-02-08,False,normal,3
O-00185,Becksbrauerei,P-KK,P-KK-V2,2024-01-23,2024-01-29,False,normal,14
O-00186,Gomez-Jenkins,P-DV,P-DV-V3,2024-01-25,2024-02-12,False,normal,4
O-00187,Becksbrauerei,P-DV,P-DV-V2,2024-01-22,2024-02-05,False,normal,17
O-00188,Becksbrauerei,P-DV,P-DV-V1,2024-01-23,2024-02-09,False,normal,7
O-00189,Becksbrauerei,P-DV,P-DV-V1,2024-01-28,2024-02-06,False,normal,4
O-00190,Becksbrauerei,P-KK,P-KK-V4,2024-01-27,2024-02-14,False,normal,8
O-00191,Becksbrauerei,P-DV,P-DV-V1,2024-01-25,2024-01-31,False,normal,3
O-00192,Becksbrauerei,P-DV,P-DV-V3,2024-01-25,2024-02-11,False,normal,4
O-00193,Becksbrauerei,P-DV,P-DV-V1,2024-01-24,2024-02-03,False,normal,12
O-00194,Becksbrauerei,P-KK,P-KK-V4,2024-01-28,2024-02-05,False,normal,17
O-00195,Becksbrauerei,P-KK,P-KK-V4,2024-01-28,2024-02-11,False,normal,6
O-00196,"Brown, Valdez and Lucas",P-KK,P-KK-V1,2024-01-26,2024-02-16,False,normal,12
O-00197,Becksbrauerei,P-KK,P-KK-V2,2024-01-22,2024-01-31,False,normal,5
O-00198,Becksbrauerei,P-KK,P-KK-V2,2024-01-28,2024-02-17,False,normal,19
O-00199,Becksbrauerei,P-DV,P-DV-V3,2024-01-26,2024-02-10,False,normal,5
O-00200,Powell LLC,P-DV,P-DV-V1,2024-01-25,2024-02-13,False,normal,19
O-00201,Becksbrauerei,P-KK,P-KK-V3,2024-01-26,2024-02-02,False,normal,2
O-00202,Becksbrauerei,P-DV,P-DV-V2,2024-01-22,2024-01-29,False,normal,15
O-00203,Becksbrauerei,P-KK,P-KK-V4,2024-01-28,2024-02-08,False,normal,5
O-00204,Becksbrauerei,P-KK,P-KK-V4,2024-01-22,2024-02-06,False,normal,6
O-00205,Becksbrauerei,P-KK,P-KK-V2,2024-01-27,2024-02-15,False,normal,20
O-00206,Wright and Sons,P-KK,P-KK-V3,2024-01-24,2024-02-07,False,normal,20
O-00207,Becksbrauerei,P-KK,P-KK-V3,2024-01-22,2024-02-06,True,hoch,10
O-00208,Becksbrauerei,P-DV,P-DV-V3,2024-01-28,2024-02-06,False,normal,5
O-00209,"West, Henderson and Ramirez",P-DV,P-DV-V2,2024-01-27,2024-02-13,True,hoch,3
O-00210,Becksbrauerei,P-DV,P-DV-V3,2024-01-25,2024-02-09,False,normal,17
O-00211,Becksbrauerei,P-KK,P-KK-V4,2024-01-26,2024-02-11,True,hoch,7
O-00212,Becksbrauerei,P-DV,P-DV-V2,2024-01-23,2024-02-04,False,normal,10
O-00213,Becksbrauerei,P-KK,P-KK-V1,2024-01-27,2024-02-11,False,normal,20
O-00214,Baxter Inc,P-DV,P-DV-V1,2024-01-23,2024-02-02,False,normal,6
O-00215,Becksbrauerei,P-DV,P-DV-V1,2024-01-25,2024-02-10,False,normal,15
O-00216,Becksbrauerei,P-DV,P-DV-V3,2024-01-28,2024-02-16,False,normal,16
O-00217,Becksbrauerei,P-KK,P-KK-V3,2024-01-27,2024-02-15,False,normal,13
O-00218,Becksbrauerei,P-DV,P-DV-V1,2024-01-28,2024-02-08,False,normal,9
O-00219,Becksbrauerei,P-KK,P-KK-V4,2024-01-28,2024-02-13,False,normal,17
O-00220,Morton-Chase,P-KK,P-KK-V3,2024-01-22,2024-02-01,False,normal,5
O-00221,Williams PLC,P-DV,P-DV-V1,2024-01-23,2024-02-11,False,normal,14
O-00222,Novak and Sons,P-KK,P-KK-V4,2024-01-26,2024-02-11,False,normal,12
O-00223,Becksbrauerei,P-KK,P-KK-V1,2024-01-24,2024-02-01,False,normal,5
O-00224,Becksbrauerei,P-KK,P-KK-V1,2024-01-24,2024-02-13,False,normal,16
O-00225,Becksbrauerei,P-DV,P-DV-V3,2024-01-22,2024-01-29,True,hoch,5
O-00226,Becksbrauerei,P-DV,P-DV-V1,2024-01-28,2024-02-11,False,normal,8
O-00227,Russell Group,P-DV,P-DV-V3,2024-01-28,2024-02-16,True,hoch,16
O-00228,Becksbrauerei,P-KK,P-KK-V2,2024-01-27,2024-02-05,False,normal,12
O-00229,Becksbrauerei,P-KK,P-KK-V4,2024-01-23,2024-01-30,False,normal,17
O-00230,Becksbrauerei,P-KK,P-KK-V4,2024-01-28,2024-02-17,True,hoch,12
O-00231,Becksbrauerei,P-DV,P-DV-V3,2024-01-22,2024-02-07,False,normal,4
O-00232,Hancock Inc,P-DV,P-DV-V1,2024-01-22,2024-02-07,False,normal,6
O-00233,Becksbrauerei,P-DV,P-DV-V3,2024-01-25,2024-02-04,False,normal,15
O-00234,Gray Group,P-KK,P-KK-V3,2024-01-23,2024-01-29,False,normal,11
O-00235,House-Glover,P-DV,P-DV-V3,2024-01-25,2024-02-14,False,normal,7
O-00236,Becksbrauerei,P-DV,P-DV-V2,2024-01-28,2024-02-03,False,normal,4
O-00237,Becksbrauerei,P-DV,P-DV-V2,2024-01-25,2024-02-13,False,normal,6
O-00238,Becksbrauerei,P-DV,P-DV-V3,2024-01-25,2024-02-10,False,normal,3
O-00239,Becksbrauerei,P-DV,P-DV-V1,2024-01-25,2024-02-04,False,normal,3
O-00240,Henderson-Bernard,P-DV,P-DV-V3,2024-01-24,2024-02-07,False,normal,6
O-00241,"Stanley, Tucker and Lee",P-DV,P-DV-V2,2024-02-01,2024-02-07,False,normal,20
O-00242,Becksbrauerei,P-DV,P-DV-V2,2024-02-03,2024-02-09,True,hoch,12
O-00243,Becksbrauerei,P-KK,P-KK-V1,2024-01-30,2024-02-18,True,hoch,12
O-00244,Becksbrauerei,P-DV,P-DV-V2,2024-02-02,2024-02-08,False,normal,12
O-00245,Becksbrauerei,P-DV,P-DV-V2,2024-02-04,2024-02-11,False,normal,13
O-00246,Becksbrauerei,P-DV,P-DV-V3,2024-01-31,2024-02-12,False,normal,6
O-00247,Becksbrauerei,P-DV,P-DV-V3,2024-02-01,2024-02-09,False,normal,15
O-00248,Becksbrauerei,P-KK,P-KK-V3,2024-02-03,2024-02-23,False,normal,3
O-00249,Novak PLC,P-DV,P-DV-V1,2024-02-03,2024-02-22,False,normal,11
O-00250,"Daniels, Adkins and Brown",P-DV,P-DV-V3,2024-01-29,2024-02-12,False,normal,6
O-00251,"Woods, Calhoun and Schmidt",P-DV,P-DV-V3,2024-01-30,2024-02-07,False,normal,8
O-00252,Yu Inc,P-DV,P-DV-V1,2024-01-31,2024-02-16,False,normal,5
O-00253,Jones Inc,P-KK,P-KK-V1,2024-01-31,2024-02-17,False,normal,17
O-00254,Becksbrauerei,P-DV,P-DV-V2,2024-02-04,2024-02-11,True,hoch,3
O-00255,"Hensley, Powell and David",P-DV,P-DV-V2,2024-02-03,2024-02-24,False,normal,18
O-00256,Becksbrauerei,P-KK,P-KK-V2,2024-02-01,2024-02-22,False,normal,4
O-00257,"Sanchez, Wheeler and Harvey",P-KK,P-KK-V3,2024-01-30,2024-02-09,False,normal,12
O-00258,Becksbrauerei,P-DV,P-DV-V1,2024-01-31,2024-02-11,False,normal,5
O-00259,Becksbrauerei,P-DV,P-DV-V3,2024-02-02,2024-02-09,False,normal,19
O-00260,Becksbrauerei,P-KK,P-KK-V2,2024-02-03,2024-02-18,False,normal,1
O-00261,Sandoval-Cunningham,P-KK,P-KK-V1,2024-02-03,2024-02-16,False,normal,14
O-00262,Becksbrauerei,P-KK,P-KK-V4,2024-02-03,2024-02-17,False,normal,8
O-00263,Becksbrauerei,P-DV,P-DV-V2,2024-02-01,2024-02-08,False,normal,14
O-00264,Becksbrauerei,P-DV,P-DV-V2,2024-01-30,2024-02-14,False,normal,11
O-00265,Becksbrauerei,P-DV,P-DV-V2,2024-01-30,2024-02-15,False,normal,8
O-00266,Becksbrauerei,P-DV,P-DV-V1,2024-01-31,2024-02-19,False,normal,10
O-00267,Donovan-Harris,P-DV,P-DV-V3,2024-02-01,2024-02-13,False,normal,11
O-00268,Becksbrauerei,P-DV,P-DV-V1,2024-02-04,2024-02-14,False,normal,16
O-00269,Becksbrauerei,P-DV,P-DV-V2,2024-01-29,2024-02-05,False,normal,8
O-00270,Becksbrauerei,P-KK,P-KK-V3,2024-01-29,2024-02-04,False,normal,16
O-00271,"Edwards, Baker and Anderson",P-DV,P-DV-V3,2024-01-29,2024-02-06,False,normal,12
O-00272,Becksbrauerei,P-DV,P-DV-V2,2024-01-29,2024-02-15,True,hoch,12
O-00273,Becksbrauerei,P-DV,P-DV-V1,2024-02-01,2024-02-22,False,normal,20
O-00274,"Evans, Stewart and Walton",P-KK,P-KK-V2,2024-01-29,2024-02-15,False,normal,18
O-00275,Becksbrauerei,P-DV,P-DV-V1,2024-01-30,2024-02-20,False,normal,2
O-00276,Becksbrauerei,P-KK,P-KK-V3,2024-02-04,2024-02-24,False,normal,17
O-00277,Smith PLC,P-KK,P-KK-V3,2024-02-02,2024-02-17,False,normal,10
O-00278,"Ferrell, Jones and Lewis",P-DV,P-DV-V3,2024-02-04,2024-02-25,False,normal,10
O-00279,Anderson-Bailey,P-DV,P-DV-V1,2024-01-31,2024-02-15,False,normal,19
O-00280,Becksbrauerei,P-DV,P-DV-V3,2024-02-04,2024-02-09,False,normal,19
O-00281,Becksbrauerei,P-KK,P-KK-V1,2024-02-02,2024-02-22,False,normal,20
O-00282,Suarez LLC,P-DV,P-DV-V1,2024-02-04,2024-02-16,True,hoch,4
O-00283,Becksbrauerei,P-KK,P-KK-V1,2024-02-01,2024-02-16,False,normal,7
O-00284,Moore-Bass,P-DV,P-DV-V3,2024-02-04,2024-02-24,False,normal,2
O-00285,Becksbrauerei,P-KK,P-KK-V2,2024-02-02,2024-02-17,False,normal,13
O-00286,Becksbrauerei,P-DV,P-DV-V1,2024-02-01,2024-02-16,False,normal,9
